sample,species,time,suc area,cit area,mal area,asc area,adonitol,average adon,normalised adon,norm suc,norm cit,norm mal,norm asc,sucDW,citDW,malicDW,ascDW
m8,yf,4,209334024,61371139,54407722,34538758,7559495,7164161.729,1.05518207,198386638.7,58161658.32,51562401.95,32732510.34,153.3540888,107.0125801,119.8918141,100.3722634
m4,ya,4,277771892,31446318,153708006,124362614,4412225,7164161.729,0.615874567,451020235.4,51059614.58,249576804,201928478.2,348.641409,93.9454144,580.310743,619.2014664
m1,ya,4,209748936,22441542,104977846,153404838,5510011,7164161.729,0.769107567,272717295.9,29178677.93,136493060.9,199458235.1,210.8121428,53.68632356,317.3707984,611.6266153
m9,yf,4,200850303,22411806,42895250,11426707,6541292,7164161.729,0.913057556,219975511.6,24545885.25,46979787.54,12514771.85,170.04242,45.16237305,109.2364153,38.37579102
m11,ya,2,233071192,27141412,144607790,175700761,6985131,7164161.729,0.975010233,239044867.4,27837053.47,148314125.4,180204017.3,184.7831491,51.21784692,344.8568894,552.5847209
m6,ya,4,275771247,15803284,98267891,152242630,7543283,7164161.729,1.052919139,261911135.2,15009019.6,93329000.64,144590998.8,202.4589143,27.61533901,217.0066321,443.3795535
m3,ya,4,258722089,19604573,105948830,186000000,6929119,7164161.729,0.967191873,267498204.1,20269579.96,109542721.5,192309308.2,206.7777529,37.29432947,254.7064355,589.7048634
m7,yf,5,326732118,36337984,54795887,16848719,7542089,7164161.729,1.052752476,310359866.5,34517120.43,52050114.57,16004444.9,239.9100809,63.50861065,121.0258332,49.07666239
m8,yf,1,153491912,49279784,56706583,26455381,7039201,7164161.729,0.982557523,156216718.6,50154604.56,57713244.97,26925020.05,120.7564819,92.28027175,134.1936251,82.56394565
m4,ya,5,249098061,30283050,196000000,127572846,7291832,7164161.729,1.017820685,244736685.6,29752834.11,192568300.9,125339215.3,189.1829594,54.74272285,447.7557689,384.3451236
m5,ya,5,246121288,17814028,142147203,164000000,6944805,7164161.729,0.969381382,253895208.3,18376697.06,146637026,169180059.6,196.2625537,33.81158348,340.9573332,518.7804212
m9,yf,5,278491797,30580803,37665877,17110018,7711950,7164161.729,1.076462298,258710219.1,28408615.01,34990428.43,15894674.65,199.9845865,52.26947229,81.35900929,48.74005854
m12,yf,1,284149035,27030600,53031194,24497692,8291239,7164161.729,1.157321584,245522972.1,23356170.29,45822349.41,21167575.49,189.7907637,42.97339718,106.5451645,64.9090901
m7,yf,4,258506932,26313360,74437257,28235061,7368829,7164161.729,1.028568209,251326970.5,25582513.41,72369781.93,27450839.67,194.2772901,47.06968204,168.272697,84.1763397
m9,yf,1,323784606,39674340,39694447,24905324,8060495,7164161.729,1.125113489,287779507.7,35262522.74,35280393.83,22135832.73,222.455325,64.88008848,82.03323076,67.87819236
m6,ya,2,252555749,23721337,116146604,193000000,7005432,7164161.729,0.977843922,258278180.6,24258817.26,118778264.5,197373011.9,199.6506182,44.63419199,276.1807261,605.2324046
m12,yf,4,267391082,26322247,34919884,17935670,7085077,7164161.729,0.988961063,270375742.8,26616060.01,35309665.17,18135870.73,209.0021079,48.97132122,82.10129185,55.6125508
m3,ya,2,246606198,17060030,121747309,197000000,7180924,7164161.729,1.002339739,246030550.6,17020207.15,121463117,196540147.3,190.183125,31.31575565,282.4234886,602.6784755
m7,yf,2,338174422,27266920,51410398,45570490,9194691,7164161.729,1.283428731,263492949.6,21245371.35,40057072.7,35506833.28,203.6816665,39.0897039,93.13986415,108.8795569
m6,ya,1,255299445,25121682,166814745,201000000,9075543,7164161.729,1.266797616,201531358.9,19830856.71,131682237.9,158667807.3,155.7849768,36.48711543,306.1847738,486.5452352
m4,ya,1,269800394,31427879,226000000,133664598,9896940,7164161.729,1.381451225,195302149.7,22749901.28,163596076.2,96756653.83,150.9697599,41.85791296,380.3901606,296.6984274
m8,yf,5,189507066,45648844,75132471,32092002,8874139,7164161.729,1.238684906,152990534.6,36852668.32,60655030.69,25908123.88,118.2626218,67.80582316,141.0338035,79.44569503
m2,yf,1,200405186,27225621,106668972,51817079,9410321,7164161.729,1.313527159,152570264.5,20727109.31,81208044.54,39448806.72,117.9377505,38.13614516,188.8232396,120.9673801
m2,yf,5,216755689,33334723,54128194,28158355,6176906,7164161.729,0.86219522,251399780.4,38662616.33,62779510.64,32658908.72,194.3335725,71.13597591,145.9735996,100.1465685
m10,yf,5,230282087,29900124,34631669,10013553,4997643,7164161.729,0.697589361,330111237.4,42862069.99,49644778.08,14354509.35,255.1780117,78.86261893,115.4329953,44.01723481
m11,ya,4,216497617,23340559,131136968,149095893,5382437,7164161.729,0.75130032,288163882.3,31066882.81,174546668.6,198450458.5,222.7524489,57.16046241,405.852248,608.5363294
