RT,Area,Metabolite,Confidence,SampleID
,363000000,suc sum,,M5-6
,257000000,ascorbic sum,,M5-6
19.4126,220188243,[5988] Sucrose [23.988],0.942,M5-6
,171000000,D-MALIC ACID,,M5-6
13.7895,144785844,"L-Ascorbic acid, 2,3,5,6-tetrakis-O-(trimethylsilyl)-",0.7526,M5-6
19.4626,143296759,D-(+)-RAFFINOSE,0.7423,M5-6
13.7947,112314866,"Octanoic acid, 2-[(tert-butyldimethylsilyl)oxy]-, tert-butyldimethylsilyl ester, (ñ)-",0.5509,M5-6
,96300000,glucose sum,,M5-6
25.9807,92568247,"D-Xylofuranose, 1,2,3,5-tetrakis-O-(trimethylsilyl)-",0.7811,M5-6
9.6231,84360680,"DL-Malic acid, O-trimethylsilyl-, bis(trimethylsilyl) ester",0.9509,M5-6
11.6778,72462603,ADONITOL,0.952,M5-6
25.9869,58898306,"à-D-Glucopyranoside, 1,3,4,6-tetrakis-O-(trimethylsilyl)-á-D-fructofuranosyl 2,3,4,6-tetrakis-O-(trimethylsilyl)-",0.6649,M5-6
,308289836,Fructose sum,,M5-6
13.9037,47702214,"Glucopyranose, pentakis-O-trimethylsilyl-",0.9459,M5-6
13.2344,46396612,GLC-3a,0.934,M5-6
9.6801,46383583,"DL-Malic acid, O-trimethylsilyl-, bis(trimethylsilyl) ester",0.7209,M5-6
8.0768,31652515,[1004] phosphoric acid [9.966],0.9296,M5-6
17.5735,31012834,[9378] DL-p-hydroxyphenyllactic acid  [17.424],0.583,M5-6
9.6853,29097808,"DL-Malic acid, O-trimethylsilyl-, bis(trimethylsilyl) ester",0.6223,M5-6
15.0902,24517704,[892] allo-inositol  [17.245],0.909,M5-6
7.1844,22627250,OXALIC ACID,0.9115,M5-6
12.4612,22096493,FRU-1a,0.9419,M5-6
12.3938,20785254,FRU-2a,0.9319,M5-6
18.9998,19060065,SUC-2b,0.9563,M5-6
13.4315,17761154,"Acrylic acid, 2,3-bis[(trimethylsilyl)oxy]-, trimethylsilyl ester",0.7027,M5-6
8.3311,16137395,[444266] maleic acid [10.323],0.9466,M5-6
18.4868,9587454,SUC-1a,0.932,M5-6
6.5825,9285528,"Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester",0.837,M5-6
9.4622,6847958,"DL-Malic acid, O-trimethylsilyl-, bis(trimethylsilyl) ester",0.9376,M5-6
16.4288,6840530,[5281] stearic acid [20.675],0.9439,M5-6
11.8542,6526800,[5780] D-sorbitol [17.898],0.7196,M5-6
6.5203,6177524,"Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester",0.9232,M5-6
12.5858,6120230,"D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-",0.9246,M5-6
15.9847,5535835,"Hexadecanoic acid, butyl ester",0.9133,M5-6
8.6424,5331596,[444972] fumaric acid [10.94],0.9583,M5-6
25.9557,5087361,"s-(-)-2,2'-Bis[diphenylphosphino]-1,1'-binaphthyl",0.7627,M5-6
12.5443,4549627,"1,2,3-Propanetricarboxylic acid, 2-[(trimethylsilyl)oxy]-, tris(trimethylsilyl) ester",0.9239,M5-6
17.6423,4294389,"Octadecanoic acid, 2-methylpropyl ester",0.8209,M5-6
7.1066,4242489,"(Z)-Bis-1,2-(trimethylsilyloxy)ethylene",0.6013,M5-6
19.6753,4114382,SUC-2b,0.7938,M5-6
10.2094,3998458,"L-Threonic acid, tris(trimethylsilyl) ether, trimethylsilyl ester",0.9553,M5-6
18.2429,3949427,"D-Glucopyranose, 4-O-[2,3,4,6-tetrakis-O-(trimethylsilyl)-á-D-galactopyranosyl]-1,2,3,6-tetrakis-O-(trimethylsilyl)-",0.7904,M5-6
14.7183,3774858,[985] palmitic acid [18.846],0.9479,M5-6
19.2812,3037451,SUC-3a,0.8086,M5-6
6.9405,2734396,"1-(3-Methylbutyl)-2,3,4,6-tetramethylbenzene",0.769,M5-6
16.1911,2728074,[5280450] linoleic acid [20.399],0.8878,M5-6
13.7117,2687433,"Glycoside, à-methyl-trtrakis-O-(trimethylsilyl)-",0.7185,M5-6
15.6907,2678987,"Melibiose, octakis(trimethylsilyl)-",0.8251,M5-6
9.3896,2666990,D-MALIC ACID,0.9209,M5-6
20.2883,2587583,SUC-2b,0.8779,M5-6
19.8567,2583631,SUC-2b,0.9269,M5-6
8.3882,2251468,"Butanedioic acid, bis(trimethylsilyl) ester",0.8779,M5-6
21.0828,2144509,[92817] D-(+)-melezitose [29.952],0.7386,M5-6
10.09,2029740,[33032] L-glutamic acid 3 (dehydrated) [13.232],0.8527,M5-6
18.5806,2027108,[10712] cellobiose 2 [24.7],0.7948,M5-6
,4056848,SUM,,M5-6
20.9639,1844389,"Melibiose, octakis(trimethylsilyl)-",0.8577,M5-6
9.3273,1818515,"DL-Malic acid, O-trimethylsilyl-, bis(trimethylsilyl) ester",0.9238,M5-6
19.2312,1791416,[5988] Sucrose [23.988],0.8285,M5-6
14.0438,1775903,[6912] xylitol [15.376],0.7115,M5-6
12.2589,1752291,"Trisiloxane, 1,1,1,5,5,5-hexamethyl-3,3-bis[(trimethylsilyl)oxy]-",0.6463,M5-6
12.7259,1673205,"á-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)-",0.8239,M5-6
21.702,1665058,"Tricosanoic acid, 2-methoxy-, methyl ester",0.5293,M5-6
6.7122,1563291,Methyl 2-[2-(4-chlorophenyl)-5-methyl-1H-imidazol-1-yl]dithiobenzoate,0.6062,M5-6
8.466,1457719,"Cyclohexaneacetic acid, trimethylsilyl ester",0.7104,M5-6
12.0617,1397639,GLC-1a,0.6737,M5-6
8.9018,1345881,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.8507,M5-6
16.2287,1325517,"11-cis-Octadecenoic acid, trimethylsilyl ester",0.823,M5-6
23.3097,1307563,"Tricosanoic acid, 2-methoxy-, methyl ester",0.5106,M5-6
14.1942,1279740,[604] gluconic acid 2 [18.297],0.8639,M5-6
12.8141,1249953,GLC-1a,0.7363,M5-6
20.1945,1231431,D-(+)-TREHALOSE DIHYDRATE,0.8965,M5-6
8.0405,1214618,[753] glycerol [9.941],0.6806,M5-6
13.3796,1191528,GLC-5a,0.7303,M5-6
7.9471,1174714,[446188] TES [19.569],0.548,M5-6
13.582,1149586,[6251] D-mannitol [17.81],0.8281,M5-6
18.6307,1148623,"à-L-Galactofuranose, 6-deoxy-1,2,3,5-tetrakis-O-(trimethylsilyl)-",0.6162,M5-6
18.6932,1146430,[10712] cellobiose 2 [24.7],0.8269,M5-6
11.9631,1086625,"2-Keto-l-gluconic acid, penta(O-trimethylsilyl)-",0.6743,M5-6
13.307,999192,"D-Altrose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-",0.7626,M5-6
12.9957,978370,"Myo-Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-",0.7151,M5-6
25.743,969959,Campesterol tms,0.5708,M5-6
6.4943,958810,"2-Propanol, 1,3-dibromo-",0.6526,M5-6
18.4243,946119,[5988] Sucrose [23.988],0.8415,M5-6
18.7746,926876,[439242] Raffinose [29.282],0.7379,M5-6
21.5457,925463,GLC-1a,0.6682,M5-6
13.1617,905634,FRU-4a,0.7283,M5-6
9.7476,896164,"Thiazolo[4,5-f]quinoline, 2,7,9-trimethyl-",0.7106,M5-6
7.8537,894431,[1004] phosphoric acid [9.966],0.6409,M5-6
7.4075,878693,Dimethyloctylmethoxysilane,0.6907,M5-6
20.3384,864543,"18,19-Secoyohimban-19-oic acid, 16-methyl-, methyl ester, (15à,20.xi.)-",0.5319,M5-6
22.878,859674,D-(+)-CELLOBIOSE,0.7051,M5-6
21.9335,854737,[439451] galactinol 2 [26.479],0.8914,M5-6
16.7353,828405,"Gulose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-",0.8282,M5-6
12.6895,784050,"á-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)-",0.8858,M5-6
14.3603,763364,"D-Gluconic acid, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, trimethylsilyl ester",0.8836,M5-6
13.0735,749800,[736] gluconic acid lactone 3 [17.721],0.6479,M5-6
20.6824,746195,[26519] tetratriacontane [29.185],0.8535,M5-6
15.8095,739268,"Melibiose, octakis(trimethylsilyl)-",0.8268,M5-6
19.1436,689338,[10712] cellobiose 2 [24.7],0.8219,M5-6
11.107,685127,"Pentonic acid, 3-deoxy-2,4,5-tris-O-(trimethylsilyl)-, trimethylsilyl ester",0.6968,M5-6
18.1678,683345,FRU-1a,0.7208,M5-6
17.7487,660292,Tetracosane,0.6678,M5-6
22.1337,656608,[26519] tetratriacontane [29.185],0.8836,M5-6
22.6591,650529,"Gulose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-",0.736,M5-6
18.3179,634109,"D-Glucopyranose, 4-O-[2,3,4,6-tetrakis-O-(trimethylsilyl)-á-D-galactopyranosyl]-1,2,3,6-tetrakis-O-(trimethylsilyl)-",0.7793,M5-6
