RT,Area,Metabolite,Confidence,SampleID,plant,time,species,adonitol,nm area
6.3075,21185,"Propanoic acid, 2,2-dimethyl-, octyl ester",0.828,M1-1,1,1,ya,1.05,20176.19048
6.3075,174588,"1,2,3-Benzenetricarboxylic acid",0.5063,M5-1,5,1,ya,0.973,179432.6824
6.3076,1802,"2,6-Difluoropyridine",0.626,M9-4,9,4,yf,0.874,2061.784897
6.3077,13071,"Carbamothioic acid, O-butyl ester",0.8288,M12-1,12,1,yf,1.11,11775.67568
6.3127,224938,"Tetrasiloxane, decamethyl-",0.8205,M1-3,1,3,ya,1.130067207,199048.3385
6.3127,38864,Timonacic,0.6903,M8-5,8,5,yf,1.19,32658.82353
6.3128,4250,Cyanogen bromide,0.815,M4-1,4,1,ya,1.32,3219.69697
6.3128,55760,Mefruside,0.5834,M10-1,10,1,yf,1.07,52112.14953
6.3128,187052,Trimethylsilylmethanol,0.6574,M11-5,11,5,ya,0.976,191651.6393
6.3129,54305,Methyltris(trimethylsiloxy)silane,0.937,M2-3,2,3,yf,1.027223171,52865.82461
6.3129,50562,"Benzene, 1,1'-(1,1,2,2-tetramethyl-1,2-ethanediyl)bis[4-methyl-",0.6406,M9-2,9,2,yf,1.25,40449.6
6.3178,194352,"1-Propanethiol, 2,2-dimethyl-",0.5618,M10-5,10,5,yf,0.73,266235.6164
6.3179,1820,"4,8-Dioxatricyclo[5.1.0.0(3,5)]octane, 1-methyl-5-(1-methylethyl)-, (1à,3á,5á,7à)-",0.721,M1-2,1,2,ya,1.02,1784.313725
6.3179,39678,"2H-Benzotriazole, 2-methyl-",0.7374,M2-2,2,2,yf,1.01,39285.14851
6.3179,394749,1-[(Trimethylsilyl)oxy]propan-2-ol,0.586,M3-1,3,1,ya,0.949,415963.1191
6.3179,164457,"1,2,3-Benzenetricarboxylic acid",0.5511,M10-2,10,2,yf,0.923,178176.598
6.3179,145525,Methyltris(trimethylsiloxy)silane,0.843,M10-6,10,6,yf,1.004145856,144924.1653
6.318,14954,"3-Cyano-2,5-dimethylpyrazine",0.8682,M8-1,8,1,yf,0.94,15908.51064
6.318,33909,"Benzene, 1,1'-(1,1,2,2-tetramethyl-1,2-ethanediyl)bis[4-methyl-",0.654,M8-2,8,2,yf,0.957,35432.60188
6.318,11814,Heptyl ethylphosphonofluoridate,0.5337,M9-4,9,4,yf,0.874,13517.16247
6.318,216032,Methyltris(trimethylsiloxy)silane,0.894,M11-3,11,3,ya,1.052280991,205298.7765
6.3181,417341,"Silane, (2-methoxyethoxy)trimethyl-",0.5979,M5-2,5,2,ya,0.945,441630.6878
6.3181,502941,(Trimethylsilyl)methyl trifluoromethyl disulfide,0.5522,M6-1,6,1,ya,1.21,415653.719
6.3181,252156,"Tetrasiloxane, decamethyl-",0.8413,M7-3,7,3,yf,1.165711342,216310.8403
6.3181,5406,"à-Aminooxy-propionic acid, ethyl ester",0.7835,M8-4,8,4,yf,1.01,5352.475248
6.3181,120862,Methyltris(trimethylsiloxy)silane,0.8295,M11-6,11,6,ya,0.703655099,171763.1268
6.323,255812,Methyltris(trimethylsiloxy)silane,0.887,M6-3,6,3,ya,0.991329883,258049.3178
6.3231,600318,"D-(-)-Lactic acid, trimethylsilyl ester",0.5419,M3-5,3,5,ya,0.892,673002.2422
6.3231,431291,"Disiloxane, 1,1,3,3-tetramethyl-",0.5186,M4-2,4,2,ya,1.09,395679.8165
6.3231,166958,Methyltris(trimethylsiloxy)silane,0.8423,M5-6,5,6,ya,0.652816243,255750.3765
6.3231,70431,"Tetrasiloxane, decamethyl-",0.7725,M10-3,10,3,yf,0.904217838,77891.6286
6.3231,210481,"Tetrasiloxane, decamethyl-",0.817,M12-6,12,6,yf,0.921003676,228534.3757
6.3232,55254,"3-Octanol, 3-ethyl-",0.6849,M3-3,3,3,ya,1.049216459,52662.15517
6.3232,178294,"Ethene, tetramethoxy-",0.5851,M5-4,5,4,ya,0.874,203997.7117
6.3232,487225,2-Hydroxyethyl vinyl sulfide,0.6523,M6-2,6,2,ya,0.936,520539.5299
6.3232,448179,(Trimethylsilyl)methyl trifluoromethyl disulfide,0.5628,M6-4,6,4,ya,1.01,443741.5842
6.3232,526141,1-[(Trimethylsilyl)oxy]propan-2-ol,0.6071,M7-4,7,4,yf,0.985,534153.2995
6.3232,379719,6-Oxa-3-thiaoctanoic acid,0.5191,M11-2,11,2,ya,0.933,406987.1383
6.3232,334785,"2-Hydroxy-3-methoxy-succinic acid, dimethyl ester",0.5393,M11-4,11,4,ya,0.786,425935.1145
6.3232,649823,"Acetic acid, [(1-methylpropyl)thio]-",0.6254,M12-2,12,2,yf,1.17,555404.2735
6.3233,543744,Trimethylsilylmethanol,0.5124,M3-2,3,2,ya,0.959,566990.6152
6.3233,187847,Methyltris(trimethylsiloxy)silane,0.8559,M3-6,3,6,ya,0.902066748,208240.6878
6.3233,370311,Methyltris(trimethylsiloxy)silane,0.8876,M5-3,5,3,ya,1.117931054,331246.7246
6.3233,28920,"1,3-Benzenediol, o-(4-ethylbenzoyl)-o'-propionyl-",0.6629,M12-1,12,1,yf,1.11,26054.05405
6.3233,81859,"Benzene, 1,1'-(1,1,2,2-tetramethyl-1,2-ethanediyl)bis[4-methyl-",0.5604,M12-4,12,4,yf,0.947,86440.33791
6.3282,161460,"2,2,4,4-Tetramethyl-2,4-disilathietane",0.6071,M6-3,6,3,ya,0.991329883,162872.1204
6.3284,5560,"Propionic acid, 3-(tert-butylthio)-",0.6007,M2-5,2,5,yf,0.825,6739.393939
6.3284,497458,"1,3,5-Trioxepane",0.6205,M4-1,4,1,ya,1.32,376862.1212
6.3284,437314,2-Hydroxyethyl vinyl sulfide,0.5789,M4-5,4,5,ya,0.974,448987.6797
6.3284,504409,"3-[1,3]Dioxolan-2-yl-4-methoxy-6-nitro-benzo[d]isoxazole",0.5071,M5-5,5,5,ya,0.928,543544.181
6.3284,79874,"1,2-Benzenediol, o-(2-chloropropionyl)-o'-(4-ethylbenzoyl)-",0.7035,M7-1,7,1,yf,1.24,64414.51613
6.3284,94985,"1,2-Benzenediol, o-(2-bromopropionyl)-o'-(4-ethylbenzoyl)-",0.6368,M9-5,9,5,yf,1.03,92218.4466
6.3284,3380,"5-Hexen-3-ol, 3-methyl-",0.5568,M11-1,11,1,ya,1.05,3219.047619
6.3285,471510,1-[(Trimethylsilyl)oxy]propan-2-ol,0.5264,M4-4,4,4,ya,0.59,799169.4915
6.3285,433426,"Tetrasiloxane, decamethyl-",0.8299,M12-3,12,3,yf,1.069914829,405103.2739
6.3335,410812,"1,3,5-Trioxepane",0.6294,M1-5,1,5,ya,1.08,380381.4815
6.3335,2211,"Cyclobutane, 1,3-dichloro-1,2,2,3,4,4-hexafluoro-",0.7802,M8-5,8,5,yf,1.19,1857.983193
6.3336,282658,"Furan, 3-(dicyanomethylene)-tetrahydro-2,2-dimethyl-",0.5409,M11-3,11,3,ya,1.052280991,268614.5644
6.3337,26947,"2-Methyl-2-tert-butyl-1,3-dithiane",0.6936,M2-1,2,1,yf,1.26,21386.50794
6.3337,439453,"D-(-)-Lactic acid, trimethylsilyl ester",0.5283,M2-4,2,4,yf,0.947,464047.5185
6.3386,385906,Trimethylsilylmethanol,0.6498,M1-2,1,2,ya,1.02,378339.2157
6.3386,351670,"Disiloxane, hexamethyl-",0.7749,M1-3,1,3,ya,1.130067207,311193.881
6.3387,154982,"oxalic acid, allyl butyl ester",0.8557,M2-6,2,6,yf,1.073152649,144417.4789
6.3387,14942,"4-Ethylbenzoic acid, tridec-2-ynyl ester",0.781,M10-4,10,4,yf,1.05,14230.47619
6.3388,556948,Methyltris(trimethylsiloxy)silane,0.8676,M1-6,1,6,ya,1.065342613,522787.6867
6.3388,646897,"1,1,1,3,5,5,5-Heptamethyltrisiloxane",0.6631,M9-4,9,4,yf,0.874,740156.7506
6.3388,5843,"Ethanesulfonic acid, 2-hydroxy-, methyl ester",0.716,M9-5,9,5,yf,1.03,5672.815534
6.3437,4358,1-Adamantyl isothiocyanate,0.608,M10-5,10,5,yf,0.73,5969.863014
6.3439,577098,"Tetrasiloxane, decamethyl-",0.8626,M4-6,4,6,ya,1.134936486,508484.842
6.3439,692221,"Tetrasiloxane, decamethyl-",0.8189,M8-3,8,3,yf,0.958779423,721981.4934
6.344,1138208,"Tetrasiloxane, decamethyl-",0.8805,M3-3,3,3,ya,1.049216459,1084817.141
6.344,60914,"2-Indolinol, 1-acetyl-3-methyl-",0.7754,M6-2,6,2,ya,0.936,65079.05983
6.344,245958,"Disiloxane, hexamethyl-",0.6489,M11-6,11,6,ya,0.703655099,349543.406
6.3441,311014,Butylsemithiocarbazide,0.5773,M3-6,3,6,ya,0.902066748,344779.3645
6.3441,362786,"2,2,4,4-Tetramethyl-2,4-disilathietane",0.612,M7-3,7,3,yf,1.165711342,311214.2662
6.3491,483221,Methyltris(trimethylsiloxy)silane,0.8776,M7-6,7,6,yf,0.978901865,493635.7947
6.3493,287650,Butylsemithiocarbazide,0.5586,M12-3,12,3,yf,1.069914829,268853.1762
6.3542,168295,"Tetrasiloxane, decamethyl-",0.7794,M4-2,4,2,ya,1.09,154399.0826
6.3542,191239,Methyltris(trimethylsiloxy)silane,0.9064,M5-1,5,1,ya,0.973,196545.7348
6.3542,390078,"Tetrasiloxane, decamethyl-",0.8312,M9-6,9,6,yf,1.067246333,365499.4989
6.3543,173299,Methyltris(trimethylsiloxy)silane,0.875,M11-5,11,5,ya,0.976,177560.4508
6.3544,270670,Methyltris(trimethylsiloxy)silane,0.8863,M9-1,9,1,yf,1.08,250620.3704
6.3544,229808,Methyltris(trimethylsiloxy)silane,0.8731,M11-1,11,1,ya,1.05,218864.7619
6.3545,304447,"4-Methyl-2,4-bis(4'-trimethylsilyloxyphenyl)pentene-1",0.7843,M3-2,3,2,ya,0.959,317462.9823
6.3545,129112,"Glycine, N-methyl-N-methoxycarbonyl-, nonyl ester",0.701,M5-3,5,3,ya,1.117931054,115491.9165
6.3594,257872,Methyltris(trimethylsiloxy)silane,0.8786,M1-2,1,2,ya,1.02,252815.6863
6.3594,218013,"Tetrasiloxane, decamethyl-",0.8355,M1-5,1,5,ya,1.08,201863.8889
6.3594,205189,"Tetrasiloxane, decamethyl-",0.8093,M3-1,3,1,ya,0.949,216216.0169
6.3594,152242,Methyltris(trimethylsiloxy)silane,0.8585,M3-5,3,5,ya,0.892,170674.8879
6.3594,206612,Methyltris(trimethylsiloxy)silane,0.8575,M6-5,6,5,ya,0.964,214327.8008
6.3594,769611,5-Methyl-2-trimethylsilyloxy-acetophenone,0.6403,M7-2,7,2,yf,1.23,625700
6.3594,297796,Methyltris(trimethylsiloxy)silane,0.8682,M8-5,8,5,yf,1.19,250248.7395
6.3594,128100,"Tetrasiloxane, decamethyl-",0.7783,M10-2,10,2,yf,0.923,138786.5655
6.3594,194651,"Tetrasiloxane, decamethyl-",0.804,M10-4,10,4,yf,1.05,185381.9048
6.3594,109181,"Tetrasiloxane, decamethyl-",0.7663,M12-5,12,5,yf,1.01,108100
6.3595,306091,Methyltris(trimethylsiloxy)silane,0.863,M1-4,1,4,ya,0.736,415884.5109
6.3595,127882,"Tetrasiloxane, decamethyl-",0.7891,M2-2,2,2,yf,1.01,126615.8416
6.3595,265652,Methyltris(trimethylsiloxy)silane,0.856,M2-5,2,5,yf,0.825,322002.4242
6.3595,622402,Methyltris(trimethylsiloxy)silane,0.8749,M4-1,4,1,ya,1.32,471516.6667
