species,ID,time,abs,weight g,mg/ml,normalized by weight
ya,M1,1,0.043,0.02,0.400309,0.400309
ya,M3,1,0.001,0.02,0.028063,0.028063
ya,M4,1,0.024,0.02,0.231912,0.231912
ya,M6,1,0.052,0.02,0.480076,0.480076
yf,M2,1,0.024,0.02,0.231912,0.231912
ya,M5,1,0.083,0.02,0.754829,0.754829
yf,M7,1,0.02,0.02,0.19646,0.19646
yf,M8,1,0.036,0.02,0.338268,0.338268
yf,M9,1,0.089,0.02,0.808007,0.808007
yf,M10,1,0.116,0.02,1.047308,1.047308
ya,M11,1,0.031,0.02,0.293953,0.293953
yf,M12,1,0.017,0.02,0.169871,0.169871
ya,M1,2,0.152,0.02,1.366376,1.366376
yf,M2,2,0.03,0.02,0.28509,0.28509
ya,M3,2,0.043,0.02,0.400309,0.400309
ya,M4,2,0.056,0.02,0.515528,0.515528
ya,M5,2,0.045,0.02,0.418035,0.418035
ya,M6,2,0.003,0.02,0.045789,0.045789
yf,M7,2,0.028,0.02,0.267364,0.267364
yf,M8,2,0.073,0.02,0.666199,0.666199
yf,M9,2,0.157,0.02,1.410691,1.410691
yf,M10,2,0.023,0.02,0.223049,0.223049
ya,M11,2,0.106,0.02,0.958678,0.958678
yf,M12,2,0.093,0.02,0.843459,0.843459
ya,M1,4,0.019,0.02,0.187597,0.187597
yf,M2,4,0.024,0.02,0.231912,0.231912
ya,M3,4,0.085,0.02,0.772555,0.772555
ya,M4,4,0.034,0.02,0.320542,0.320542
ya,M5,4,0.068,0.02,0.621884,0.621884
ya,M6,4,0.111,0.02,1.002993,1.002993
yf,M7,4,0.096,0.02,0.870048,0.870048
yf,M8,4,0.037,0.02,0.347131,0.347131
yf,M9,4,0.029,0.02,0.276227,0.276227
yf,M10,4,0.067,0.02,0.613021,0.613021
ya,M11,4,0.036,0.02,0.338268,0.338268
yf,M12,4,0.028,0.02,0.267364,0.267364
ya,M1,5,0.109,0.02,0.985267,0.985267
yf,M2,5,0.02,0.02,0.19646,0.19646
ya,M3,5,0.052,0.02,0.480076,0.480076
ya,M4,5,0.005,0.02,0.063515,0.063515
ya,M5,5,0.018,0.02,0.178734,0.178734
ya,M6,5,0.05,0.02,0.46235,0.46235
yf,M7,5,0.015,0.02,0.152145,0.152145
yf,M8,5,0.007,0.02,0.081241,0.081241
yf,M9,5,0.018,0.02,0.178734,0.178734
yf,M10,5,0.012,0.02,0.125556,0.125556
ya,M11,5,0.016,0.02,0.161008,0.161008
yf,M12,5,0.02,0.02,0.19646,0.19646
ya,M1,3,0.001,0.03,0.028063,0.0420945
yf,M2,3,0.014,0.04,0.143282,0.286564
ya,M3,3,0.03,0.04,0.28509,0.57018
ya,M4,3,0.009,0.02,0.098967,0.098967
ya,M5,3,0.009,0.03,0.098967,0.1484505
ya,M6,3,0.036,0.06,0.338268,1.014804
yf,M7,3,0.01,0.03,0.10783,0.161745
yf,M8,3,0.076,0.04,0.692788,1.385576
yf,M9,3,0.001,0.02,0.028063,0.028063
yf,M10,3,0.043,0.03,0.400309,0.6004635
ya,M11,3,0.01,0.03,0.10783,0.161745
yf,M12,3,0.013,0.04,0.134419,0.268838
ya,M1,6,0.031,0.05,0.293953,0.7348825
yf,M2,6,0.001,0.01,0.028063,0.0140315
ya,M3,6,0.033,0.04,0.311679,0.623358
ya,M4,6,0.016,0.04,0.161008,0.322016
ya,M5,6,0.059,0.04,0.542117,1.084234
ya,M6,6,0.019,0.02,0.187597,0.187597
yf,M7,6,0.016,0.03,0.161008,0.241512
yf,M8,6,0.018,0.03,0.178734,0.268101
yf,M9,6,0.034,0.01,0.320542,0.160271
yf,M10,6,0.038,0.04,0.355994,0.711988
ya,M11,6,0.025,0.02,0.240775,0.240775
yf,M12,6,0.004,0.02,0.054652,0.054652
